model_type,feature,weight,threshold,roc_auc,pr_auc,precision,recall,f1,mcc,category,val_roc_auc,val_pr_auc,val_precision,val_recall,val_f1,val_mcc,cv_f1,cv_f1_std,cv_precision,cv_precision_std,cv_recall,cv_recall_std
individual,mean_cladepp_score,2.9801556386777195,0.4693634272107201,0.9279513031550068,0.8051232910302517,0.8898071625344353,0.6646090534979424,0.7608951707891637,0.7385915677514943,CladePP,,,,,,,,,,,,
individual,weighted_cladepp_score,1.618597942564698,0.3061932816128845,0.8312770919067216,0.520138380293726,0.495049504950495,0.51440329218107,0.5045408678102926,0.4225882863094871,CladePP,,,,,,,,,,,,
individual,positive_correlation_ratio,1.737336902640899,0.1844343741170108,0.7614125514403292,0.4154926501162529,0.3481701285855588,0.7242798353909465,0.4702738810955243,0.385189253863067,CladePP,,,,,,,,,,,,
individual,cladepp_multi_clade_high,1.5055400786422308,0.2694768414486532,0.8499509602194788,0.5759254103863427,0.5981735159817352,0.5390946502057613,0.5670995670995671,0.5020679761545225,CladePP,,,,,,,,,,,,
individual,cladepp_multi_clade_medium,1.6648650016876916,0.226586167535445,0.861425925925926,0.627192065047475,0.5380434782608695,0.6111111111111112,0.5722543352601156,0.4991793857190802,CladePP,,,,,,,,,,,,
individual,cladepp_conservation_consistency,2.336934769187333,0.0917577395415943,0.8261251714677641,0.8016541487897544,0.8532608695652174,0.6460905349794238,0.7353629976580797,0.708009436460961,CladePP,,,,,,,,,,,,
individual,cladepp_max_pair_score,5.289627194069858,0.2643710147605026,0.8880603566529492,0.7773428981368138,0.8658536585365854,0.7304526748971193,0.7924107142857143,0.7656784951706674,CladePP,,,,,,,,,,,,
multi_feature,ALL_COMBINED,,0.3960362566650746,0.9425877914951988,0.8506516692448689,0.8810126582278481,0.7160493827160493,0.7900113507377979,0.765360653418199,CladePP,,,,,,,,,,,,
individual,fraction_weak_binders,-0.8105190117277662,0.2875243763860179,0.692204735288321,0.4762506463934579,0.462406015037594,0.5093167701863354,0.4847290640394088,0.3558843859491002,Docking,,1.0,1.0,0.3809523809523809,0.5517241379310345,0.0,0.0,0.0,0.0,0.0,0.0,0.0
individual,q75_score,-0.9557230202969722,0.2027852358351731,0.7296724552346006,0.468972559376046,0.438423645320197,0.5527950310559007,0.489010989010989,0.353968916294749,Docking,,1.0,1.0,0.4285714285714285,0.6,0.0,0.3188748917985822,0.0427740352719519,0.6731979396401797,0.0771600606780091,0.2105590062111801,0.0356480617447993
individual,fraction_strong_binders,0.7690473820936322,0.2765079009190046,0.6573148481135851,0.4560584651953138,0.5,0.4368530020703933,0.4662983425414365,0.3513781473498586,Docking,,1.0000000000000002,1.0,0.4285714285714285,0.6,0.0,0.3060814851189976,0.0362096100685144,0.7201274281274281,0.0658401256710983,0.1950310559006211,0.0268880258657308
individual,z_score,-1.1388341559186008,0.2243049489493239,0.6768926625990244,0.4564191941989919,0.4796116504854369,0.5113871635610766,0.4949899799599198,0.3708168944543109,Docking,,1.0,1.0,0.5,0.6666666666666666,0.0,0.0302867648476177,0.0147091896592444,0.7195238095238097,0.1743039282702224,0.015527950310559,0.0076071110024322
individual,max_score,-0.9081373237846914,0.1903929038664266,0.7155865674340736,0.4482999847816963,0.4191063174114021,0.5631469979296067,0.4805653710247349,0.3403909047414475,Docking,,1.0,1.0,0.3333333333333333,0.5,0.0,0.2983047013838089,0.0346743057094884,0.6774033347066226,0.0727871752081943,0.1919254658385093,0.0256394626590686
individual,median_score_non_self,-0.7950073996963124,0.2073731111303344,0.7050725653575848,0.4370756316881681,0.4241935483870968,0.5445134575569358,0.4768812330009066,0.3375336843899732,Docking,,1.0,1.0,0.6190476190476191,0.7647058823529411,0.0,0.2518513472177289,0.0360289578973661,0.6171974069446885,0.0696757035990733,0.1590062111801242,0.0260869565217391
individual,mean_score_non_self,-0.661815278589087,0.2042139300417952,0.6624964189712237,0.3906258340094468,0.3644189383070301,0.525879917184265,0.4305084745762711,0.2714663600761006,Docking,,1.0,1.0,0.6428571428571429,0.782608695652174,0.0,0.1602222892889752,0.0237007079711597,0.5992068368566065,0.0893149102858851,0.093167701863354,0.0154657137863214
multi_feature,ALL_COMBINED,,0.2668503578735138,0.7857823506584013,0.5132760877147576,0.5495495495495496,0.505175983436853,0.5264293419633226,0.4205364123207443,Docking,,1.0,1.0,0.1666666666666666,0.2857142857142857,0.0,0.4235220028028084,0.0462069566342125,0.6652788419628879,0.0582316469198179,0.3118012422360248,0.0421994726744423
individual,mean_score_non_self,3.758714896494312,0.3780464582184371,0.9916685622042044,0.972229851149684,0.939516129032258,0.9608247422680412,0.9500509683995922,0.9413979928370256,Foldseek,,1.0000000000000002,1.0,0.7619047619047619,0.8648648648648649,0.0,,,,,,
individual,enrichment_score,-1.0644682427265406,0.0691683917664268,0.9150126572990424,0.491433295909747,0.6096938775510204,0.9855670103092784,0.7533490937746257,0.7294220576994834,Foldseek,,1.0,1.0,0.8333333333333334,0.9090909090909092,0.0,,,,,,
individual,z_score,0.1749517155434706,0.141954831281648,0.9185346883369409,0.5473210134093978,0.7259615384615384,0.934020618556701,0.8169522091974752,0.7895722356954967,Foldseek,,1.0,1.0,0.6428571428571429,0.782608695652174,0.0,,,,,,
individual,effect_size,7.976260817524399,0.1020839771359019,0.9607381590050263,0.910360811841615,0.9615384615384616,0.9278350515463918,0.944386149003148,0.935190838459539,Foldseek,,1.0,1.0,0.5952380952380952,0.746268656716418,0.0,,,,,,
individual,foldseek_match_coverage,3.571304500556029,0.5696809341445441,0.974883149282753,0.9767049800128992,0.9766454352441614,0.9484536082474226,0.9623430962343096,0.9560951875132858,Foldseek,,1.0,1.0,0.5952380952380952,0.746268656716418,0.0,,,,,,
multi_feature,ALL_COMBINED,,0.770139062997503,0.9936900612686648,0.990393560689378,0.989247311827957,0.9484536082474226,0.968421052631579,0.9633961330095688,Foldseek,,1.0000000000000002,1.0,0.6428571428571429,0.782608695652174,0.0,,,,,,
individual,mean_proximal_similarity,0.5461807619746183,0.1747684335008821,0.6243307587214415,0.2425334544621345,0.2517482517482518,0.3486682808716707,0.2923857868020305,0.1658062587851467,Promoter,,,,,,,,,,,,
individual,mean_distal_similarity,0.384969763910487,0.1414176482921834,0.6056975124108918,0.2095541196373674,0.1814415907207953,0.5302663438256658,0.2703703703703703,0.1131243142285433,Promoter,,,,,,,,,,,,
individual,mean_proximal_correlation,0.1028806611504165,0.1331659900572286,0.5445921877888548,0.1435476773835191,0.162727886563133,0.5835351089588378,0.2544878563885955,0.0828211866980255,Promoter,,,,,,,,,,,,
individual,mean_distal_correlation,0.026529250265569,0.1318713606052873,0.5112462293884508,0.1272271728754347,0.1442182763100909,0.8062953995157385,0.2446730345334313,0.0548897948221377,Promoter,,,,,,,,,,,,
individual,num_tfbs_types_found,-0.0990625351815771,0.1299509594552977,0.5545975534423598,0.1542584348438224,0.1450659390632105,0.7723970944309927,0.2442572741194487,0.0540825693617928,Promoter,,,,,,,,,,,,
multi_feature,ALL_COMBINED,,0.1916566894771782,0.6378779065835215,0.2850678834872466,0.2894736842105263,0.3196125907990315,0.3037974683544304,0.1908645437854338,Promoter,,,,,,,,,,,,
individual,num_distinct_enzyme_classes,-4.205173331882097,0.6645677272130814,0.94389780521262,0.8093068479331027,0.6637426900584795,0.934156378600823,0.7760683760683761,0.747903496845808,E2P2,,1.0,1.0,0.119047619047619,0.2127659574468085,0.0,,,,,,
individual,num_distinct_enzyme_subclasses,-5.954746320516797,0.8700023976221267,0.9658563100137174,0.8999302575421514,0.8957446808510638,0.8662551440329218,0.8807531380753139,0.8619719604896977,E2P2,,1.0,1.0,0.119047619047619,0.2127659574468085,0.0,,,,,,
individual,num_distinct_enzyme_families,-6.444235510438095,0.8871028683961041,0.9688223593964336,0.9106362412998495,0.9203539823008848,0.8559670781893004,0.8869936034115139,0.8702163969579277,E2P2,,1.0,1.0,0.119047619047619,0.2127659574468085,0.0,,,,,,
individual,num_distinct_enzyme_subfamilies,-4.512936062672702,0.8143120077292807,0.8992253086419751,0.7804975995731216,0.9293286219081272,0.5411522633744856,0.6840052015604682,0.6778647979659532,E2P2,,1.0,1.0,0.0476190476190476,0.0909090909090909,0.0,,,,,,
individual,total_ec_numbers,0.1306565748919924,0.1295637387506975,0.5391052812071331,0.1835160354597602,0.1461273126371903,0.9588477366255144,0.2536054421768707,0.063501303241878,E2P2,,1.0,1.0,0.9523809523809524,0.975609756097561,0.0,,,,,,
multi_feature,ALL_FEATURES_COMBINED,,0.5473404809622978,0.99780109739369,0.9959749514708416,0.9957446808510638,0.9629629629629628,0.9790794979079498,0.9759396860373984,E2P2,,1.0000000000000002,1.0,0.5714285714285714,0.7272727272727273,0.0,,,,,,
